project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	adipose_tissue	counts	0.5388668848540537	0.5918001622244446	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	counts	0.4051577293042391	0.57609970930298	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	counts	0.20187820155273137	0.5481696899996678	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	counts	0.29663877294147245	0.5597073157919112	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	counts	0.5295398423670484	0.5896309116155862	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	counts	0.2939287974823453	0.575384035154002	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	counts	0.36755058872281404	0.5688149949846775	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	counts	0.415200267165476	0.5748838714062003	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	counts	0.15562448582434807	0.5387318794878411	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	counts	0.30135216464410697	0.5690456142424409	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	esophagus	counts	0.2975188603853579	0.5647058483777982	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	counts	0.28756485980412994	0.5614006514333596	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	counts	0.5008477485407367	0.5942126838299373	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	counts	0.4783180587924626	0.58325009943519035	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	counts	0.6124361220956155	0.60952822711306	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	counts	0.40694244357666554	0.582636434941378	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	counts	0.5913884056359944	0.6059792012920298	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	counts	0.465718194550422	0.5868852163662268	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	counts	0.5032968644893185	0.5904491199553377	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	counts	0.5219702148342129	0.5982163078133453	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	counts	0.5126606522771451	0.588498696698025	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	counts	0.5125922368138541	0.5863888869707807	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	counts	0.5397622640801826	0.5883855448278155	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
SRP012682	skin	counts	0.3329956013533312	0.5667132305261475	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	counts	0.3691316434075723	0.5718449263522416	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	counts	0.5367629834702522	0.586758952836135	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	counts	0.479219970290712	0.5888920799961852	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
SRP012682	testis	counts	0.3100062241689523	0.5613345606429903	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	counts	0.46027456794780475	0.5854162947684927	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
