project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP000762	epithelium	wTO	5	0.11380612162052448	SRP000762_epithelium	0.0911707797495518
SRP000941	colon	wTO	5	0.2125691080776946	SRP000941_colon	0.9925245678841719
SRP000941	heart	wTO	5	0.17782137772052342	SRP000941_heart	0.7350213932597381
SRP000941	intestine	wTO	5	0.22330753353973168	SRP000941_intestine	1.0636245405669014
SRP000941	lung	wTO	5	0.14121156255477155	SRP000941_lung	0.4024508404567944
SRP000941	muscle	wTO	5	0.14897065975036472	SRP000941_muscle	0.4796208328338621
SRP000941	stem_cell	wTO	5	0.14873371492317294	SRP000941_stem_cell	0.47732433181865175
SRP001371	blood	wTO	5	0.16454722343600028	SRP001371_blood	0.623094300270797
SRP001371	brain	wTO	5	0.12622267297723688	SRP001371_brain	0.24056369790712062
SRP001371	intestine	wTO	5	0.13811056388757492	SRP001371_intestine	0.37041629116904184
SRP001371	kidney	wTO	5	0.1586747201989696	SRP001371_kidney	0.5706649162167812
SRP001371	muscle	wTO	5	0.11982108972621307	SRP001371_muscle	0.16547447701367127
SRP001558	liver	wTO	5	0.12283426696090081	SRP001558_liver	0.20130570173460927
SRP001893	umbilical_cord	wTO	5	0.13876241374917017	SRP001893_umbilical_cord	0.37720945898412195
SRP002079	brain	wTO	5	0.15454128278442586	SRP002079_brain	0.5325848959292702
SRP002079	stem_cell	wTO	5	0.16096540332201523	SRP002079_stem_cell	0.5913432573609425
SRP002105	blood	wTO	5	0.2412750800601268	SRP002105_blood	1.1752715330163186
SRP002272	liver	wTO	5	0.1665443784087852	SRP002272_liver	0.6404992752409393
SRP002274	brain	wTO	5	0.1344373592208369	SRP002274_brain	0.33152672648592646
SRP002605	cervix	wTO	5	0.16740359496237378	SRP002605_cervix	0.6479231274278564
SRP002628	prostate	wTO	5	0.14450878547918233	SRP002628_prostate	0.43574982229979936
SRP003611	brain	wTO	5	0.1588064984301878	SRP003611_brain	0.5718625669780741
SRP003611	prostate	wTO	5	0.18188580537049903	SRP003611_prostate	0.767625574977311
SRP003726	breast	wTO	5	0.1458107030457769	SRP003726_breast	0.4486892403003641
SRP003754	blood	wTO	5	0.15702479338842976	SRP003754_blood	0.5555849886443428
SRP003754	blood_vessel	wTO	5	0.12737069682354898	SRP003754_blood_vessel	0.2536260238323052
SRP003754	brain	wTO	5	0.15300100003571557	SRP003754_brain	0.5181337001912273
SRP003754	epithelium	wTO	5	0.1614790427899172	SRP003754_epithelium	0.59593955758486294
SRP003754	skin	wTO	5	0.1529907228987465	SRP003754_skin	0.5180367905467231
SRP003902	kidney	wTO	5	0.2233740099584634	SRP003902_kidney	1.064053952534977
SRP004847	breast	wTO	5	0.11698059727035469	SRP004847_breast	0.13086187779714073
SRP005242	heart	wTO	5	0.13543252509499584	SRP005242_heart	0.34216687170223303
SRP005279	blood	wTO	5	0.1298073049342085	SRP005279_blood	0.28096419118555427
SRP005279	bone	wTO	5	0.1533461474867725	SRP005279_bone	0.521384539839844
SRP005281	stem_cell	wTO	5	0.1612423511055852	SRP005281_stem_cell	0.5938233422555281
SRP006575	breast	wTO	5	0.18484753481618374	SRP006575_breast	0.7909284210147854
SRP006575	colon	wTO	5	0.14233556841356113	SRP006575_colon	0.4138888413766027
SRP006575	kidney	wTO	5	0.15028716864508918	SRP006575_kidney	0.4923144563676761
SRP006575	lung	wTO	5	0.1455321774141178	SRP006575_lung	0.4459307883393118
SRP006676	lung	wTO	5	0.1507525755194692	SRP006676_lung	0.49677526752380086
SRP006908	breast	wTO	5	0.14435910350037773	SRP006908_breast	0.43425470653167686
SRP007169	umbilical_cord	wTO	5	0.1435578306400348	SRP007169_umbilical_cord	0.42622464487585704
SRP007359	brain	wTO	5	0.1490615451767787	SRP007359_brain	0.48050073746076705
SRP007412	brain	wTO	5	0.13824677904351562	SRP007412_brain	0.3718384856640358
SRP007461	blood	wTO	5	0.15823234909256415	SRP007461_blood	0.5666371927747325
SRP007461	blood_vessel	wTO	5	0.1498383378268558	SRP007461_blood_vessel	0.48799941839575456
SRP007461	brain	wTO	5	0.12970056248955775	SRP007461_brain	0.27977735391727687
SRP007461	breast	wTO	5	0.12709370888930652	SRP007461_breast	0.2504852366104106
SRP007461	epithelium	wTO	5	0.12736618847026246	SRP007461_epithelium	0.2535749579733329
SRP007461	liver	wTO	5	0.13641229043675837	SRP007461_liver	0.352566251344213
SRP007461	lung	wTO	5	0.13465528350515463	SRP007461_lung	0.33386345594699773
SRP007461	muscle	wTO	5	0.11872026917275787	SRP007461_muscle	0.15215888566475685
SRP007461	skin	wTO	5	0.14664232380684877	SRP007461_skin	0.4568941708128303
SRP007461	stem_cell	wTO	5	0.1025144833465734	SRP007461_stem_cell	-0.0595796329137704
