project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP012682	adrenal_gland	rlog	0.3231888095344854	0.5106069840229616	0.551898069388244	rlog	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	rlog	0.11859550981814351	0.2385535181706856	0.5299096540948085	rlog	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	rlog	0.2026027866587803	0.45748294898071784	0.528865484133803	rlog	102	42049900457199.79	0.9928019473064187
SRP012682	breast	rlog	0.2915968870815117	0.46144991310721656	0.5515730640981928	rlog	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	rlog	0.13895726719228013	0.23669016489069974	0.531756790770487	rlog	11	5000055391623.473	0.8542408684699819
SRP012682	colon	rlog	0.11825982696218452	0.18239230176001947	0.5441819721081629	rlog	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	rlog	0.18797101853065365	0.3273444797434876	0.5421254179755124	rlog	7	23996813030299.906	0.8610602932806956
SRP012682	heart	rlog	0.32070076695711586	0.5027604524679306	0.5564234210755785	rlog	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	rlog	0.38518530977885757	0.5190567728510828	0.559867907079024	rlog	36	22272752539960.25	0.7985829147013058
SRP012682	liver	rlog	0.45640029633683	0.6951431290584243	0.5716462244363356	rlog	136	43479116110667.48	0.8611651199044741
SRP012682	lung	rlog	0.36873243998349464	0.5843667891376508	0.5602382402680632	rlog	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	rlog	0.448651875663475	0.6502271428614584	0.5657866970559553	rlog	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	rlog	0.3540967253253558	0.5538620944604853	0.5516561617860134	rlog	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	rlog	0.4134336672285392	0.6062838391669758	0.5570188861752285	rlog	108	16778882363032.21	0.8929019389320334
