project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP000762	epithelium	counts	0.40330405003690434	0.6219312883828411	0.5831059584106697	asinh	22	13839021689053.1	0.9803515053420664
SRP000941	colon	counts	0.5067868323650188	0.701770725116326	0.5959402248845436	asinh	24	2982197564764.058	0.8871250457558746
SRP000941	heart	counts	0.4211436608263396	0.5983712653662022	0.5891856174416716	asinh	24	1147830126460.0417	0.937793717798281
SRP000941	intestine	counts	0.44076479821698117	0.6220035541518635	0.5713930358911057	asinh	32	7667816074280.217	0.9149503561915839
SRP000941	lung	counts	0.24600014476570334	0.3574978790765116	0.547260727027151	asinh	20	4019083406430.0923	0.7571675546745809
SRP000941	muscle	counts	0.29728745306546134	0.4400765323605035	0.5553374516944132	asinh	30	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	counts	0.4327383448157006	0.6783972701986299	0.5754551899894977	asinh	99	755711347810385.9	0.6517449699437442
SRP001371	blood	counts	0.37396628423873346	0.5324202241069131	0.5905455711626928	asinh	20	490440749620378	0.9971459309901244
SRP001371	brain	counts	0.24761751406651117	0.39944094054931517	0.55932456384744	asinh	12	252330960470104.38	0.9612230361478138
SRP001371	intestine	counts	0.37542660997178084	0.6043050197683664	0.5823312247393915	asinh	14	517266378348557	0.9055033664256724
SRP001371	kidney	counts	0.14023220034233594	0.2955510795400106	0.5259969328917578	asinh	5	106264162409291.7	0.9769421783184283
SRP001371	muscle	counts	0.22147374906488992	0.36567660193057877	0.5543498372867361	asinh	7	903359994356518.6	0.8890394365084799
SRP001558	liver	counts	0.10840168142486732	0.19546746663021694	0.5154935043942714	asinh	11	445272832691.4	0.9247578114803341
SRP001893	umbilical_cord	counts	0.16531029299469804	0.288874938229366	0.524260602571303	asinh	12	497386104224.24243	0.9809573057844517
SRP002079	brain	counts	0.3472513571734616	0.578499535585841	0.5630869651931789	asinh	34	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	counts	0.2990881598835393	0.5120511077757283	0.5591962359235367	asinh	27	1041024362453.4985	0.8030977340010708
SRP002105	blood	counts	0.39120510465941216	0.5954270041501323	0.5671545493019039	asinh	15	154793831752.20953	0.9425098956485196
SRP002272	liver	counts	0.317310988548198	0.45795277662369527	0.5743091284134607	asinh	7	5857451683910.619	0.7114213078445124
SRP002274	brain	counts	0.10613572300998562	0.1730527790052104	0.5260061455378491	asinh	6	93176427759.76666	0.9949553683471325
SRP002605	cervix	counts	0.44094166038681315	0.6379654069979852	0.5845749973286729	asinh	24	15529457497286.346	0.9231615868042707
SRP002628	prostate	counts	0.3275556736476666	0.5254952363960413	0.5715451591936471	asinh	30	5638445182990.947	0.8454448120097025
SRP003611	brain	counts	0.16766779370877158	0.2774761022137312	0.5411755643444849	asinh	6	230286966377.06668	0.9940259098220026
SRP003611	prostate	counts	0.36822779491979307	0.5707912726424689	0.574105711026732	asinh	46	12453029165482.844	0.9030892791840586
SRP003726	breast	counts	0.18091082729471852	0.31215199608344474	0.5452872178252619	asinh	14	2410584971362.2637	0.5038673603116823
SRP003754	blood	counts	0.24234905711484298	0.41963175617175735	0.5413785372602433	asinh	5	1126326657850988.5	0.5970710323620452
SRP003754	blood_vessel	counts	0.14153180213392733	0.2116386225520542	0.5218434638891267	asinh	7	1466158259195126	0.5532082897376809
SRP003754	brain	counts	0.21475158327149432	0.3301121838262293	0.5325773578983899	asinh	5	267816812278432.3	0.42146462237494403
SRP003754	epithelium	counts	0.2931401090535669	0.4276987868372173	0.5528211974042279	asinh	5	1159586772123950.8	0.5012878840022968
SRP003754	skin	counts	0.2327058573668552	0.35437702192880866	0.5448579332883128	asinh	8	1047687261183365.9	0.5504298479999644
SRP003902	kidney	counts	0.4402872473921213	0.7101415416327695	0.583629465179456	asinh	20	1532875350132.3684	0.6460929763182831
SRP004847	breast	counts	0.003674692746708152	0.04170629872323826	0.5057178689585271	asinh	8	363502373032.8571	0.7402732133699512
SRP005242	heart	counts	0.2327863520668831	0.37420043539737596	0.5638688013191313	asinh	7	638845802500692.6	0.6860039410371538
