project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP000762	epithelium	rlog	0.3729679617094629	0.5408775561868373	0.555260780120534	rlog	22	13839021689053.1	0.9803515053420664
SRP000941	colon	rlog	0.14164531674748487	0.20178623304392299	0.5179681216745848	rlog	24	2982197564764.058	0.8871250457558746
SRP000941	heart	rlog	0.23425911766200758	0.38539147625879305	0.5381167598102365	rlog	24	1147830126460.0417	0.937793717798281
SRP000941	intestine	rlog	0.11371893469692788	0.1337980223902401	0.5188313954995465	rlog	32	7667816074280.217	0.9149503561915839
SRP000941	lung	rlog	0.25876547397472816	0.43603668276054125	0.534750068458834	rlog	20	4019083406430.0923	0.7571675546745809
SRP000941	muscle	rlog	0.16058051809289725	0.2868604200266657	0.5202790202811229	rlog	30	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	rlog	0.2836677472559904	0.43827740457642583	0.5450996593108357	rlog	99	755711347810385.9	0.6517449699437442
SRP001371	blood	rlog	0.2055224362856094	0.3417408374380444	0.5381498093420305	rlog	20	490440749620378	0.9971459309901244
SRP001371	brain	rlog	0.15521600306679814	0.2857340877240506	0.5291936612020436	rlog	12	252330960470104.38	0.9612230361478138
SRP001371	intestine	rlog	0.17410851360281168	0.295669428970919	0.5378578735385418	rlog	14	517266378348557	0.9055033664256724
SRP001371	kidney	rlog	0.08542032862393943	0.177813041984752	0.524026682117892	rlog	5	106264162409291.7	0.9769421783184283
SRP001371	muscle	rlog	0.12377314656088993	0.2123150155807414	0.5302528867332512	rlog	7	903359994356518.6	0.8890394365084799
SRP001558	liver	rlog	0.22217648411935229	0.3557517482658989	0.5328389449691713	rlog	11	445272832691.4	0.9247578114803341
SRP001893	umbilical_cord	rlog	0.10968372562964945	0.20956336933606232	0.5115299413250796	rlog	12	497386104224.24243	0.9809573057844517
SRP002079	brain	rlog	0.13185438930881216	0.274300078304396	0.5227793512735843	rlog	34	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	rlog	0.08843771101900126	0.2295883396455777	0.5170486656561479	rlog	27	1041024362453.4985	0.8030977340010708
SRP002105	blood	rlog	0.08013510101003354	0.11781451874707612	0.5157756580329078	rlog	15	154793831752.20953	0.9425098956485196
SRP002272	liver	rlog	0.12065980063103876	0.19257101955354952	0.5228445880261461	rlog	7	5857451683910.619	0.7114213078445124
SRP002274	brain	rlog	-0.0029086962040205597	0.016089999712548986	0.49967119452867337	rlog	6	93176427759.76666	0.9949553683471325
SRP002605	cervix	rlog	0.26027165551438153	0.40944905616612487	0.5321395153328012	rlog	24	15529457497286.346	0.9231615868042707
SRP002628	prostate	rlog	0.21662834046523854	0.3918684297154762	0.5328268307102917	rlog	30	5638445182990.947	0.8454448120097025
SRP003611	brain	rlog	-0.025214427603006708	-0.02576610084914235	0.49941536302412715	rlog	6	230286966377.06668	0.9940259098220026
SRP003611	prostate	rlog	0.08060759255377031	0.18120875172244877	0.5178553119358185	rlog	46	12453029165482.844	0.9030892791840586
SRP003726	breast	rlog	0.07106696770235896	0.1507347759360444	0.5167433714550498	rlog	14	2410584971362.2637	0.5038673603116823
SRP003754	blood	rlog	0.09110355352952687	0.1714804206343797	0.5065166200906788	rlog	5	1126326657850988.5	0.5970710323620452
SRP003754	blood_vessel	rlog	0.09465494090440733	0.14648801662669786	0.5078375591110671	rlog	7	1466158259195126	0.5532082897376809
