project	sample	experiment	run	reads_downloaded	paired_end	sra_misreported_paired_end	mapped_read_count	tissue	sharq_beta_cell_type	avg_read_length	characteristics	dataset
SRP000762	SRS004225	SRX006804	SRR020495	10944108	FALSE	FALSE	2866762	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004225	SRX006804	SRR020720	25765620	FALSE	FALSE	9167996	epithelium	a549	26	NA	SRP000762_epithelium
SRP000762	SRS004225	SRX006804	SRR020721	14998423	FALSE	FALSE	9751578	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004225	SRX006804	SRR020722	9274254	FALSE	FALSE	5000570	epithelium	a549	35	NA	SRP000762_epithelium
SRP000762	SRS004225	SRX006804	SRR020735	11090710	FALSE	FALSE	3292182	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020723	12045983	FALSE	FALSE	4752345	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020724	10623989	FALSE	FALSE	2212209	epithelium	a549	26	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020725	13714225	FALSE	FALSE	9141385	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020734	9014622	FALSE	FALSE	5173800	epithelium	a549	35	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020738	11875777	FALSE	FALSE	4746791	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004226	SRX006805	SRR020746	11393684	FALSE	FALSE	2398468	epithelium	a549	26	NA	SRP000762_epithelium
SRP000762	SRS004227	SRX006806	SRR020726	10996175	FALSE	FALSE	3162234	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004227	SRX006806	SRR020727	9772333	FALSE	FALSE	2167505	epithelium	a549	26	NA	SRP000762_epithelium
SRP000762	SRS004227	SRX006806	SRR020728	31921250	FALSE	FALSE	19847856	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004227	SRX006806	SRR020729	9308565	FALSE	FALSE	5387236	epithelium	a549	35	NA	SRP000762_epithelium
SRP000762	SRS004227	SRX006806	SRR020748	11107708	FALSE	FALSE	3123073	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020730	9860543	FALSE	FALSE	7433606	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020731	12739697	FALSE	FALSE	4806571	epithelium	a549	26	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020732	15592651	FALSE	FALSE	8767538	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020733	9040055	FALSE	FALSE	5147325	epithelium	a549	35	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020782	9842403	FALSE	FALSE	6849297	epithelium	a549	36	NA	SRP000762_epithelium
SRP000762	SRS004228	SRX006807	SRR020783	5178906	FALSE	FALSE	2956995	epithelium	a549	26	NA	SRP000762_epithelium
SRP000941	SRS004212	SRX007165	SRR020287	4954472	FALSE	FALSE	4470768	stem_cell	h1	43	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX007165	SRR020288	11312270	FALSE	FALSE	10626249	stem_cell	h1	87	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX007165	SRR020289	11616055	FALSE	FALSE	10930917	stem_cell	ips	87	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX007165	SRR020290	11730394	FALSE	FALSE	11044739	stem_cell	h1	87	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX007165	SRR020291	11625426	FALSE	FALSE	10951384	stem_cell	h1	87	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX007166	SRR020285	11387212	FALSE	FALSE	5359840	stem_cell	h1	43	NA	SRP000941_stem_cell
SRP000941	SRS004212	SRX398166	SRR1057683	20554961	FALSE	FALSE	15464461	stem_cell	h1	100	NA	SRP000941_stem_cell
