project	tissue	method	log2_auprc_over_prior	auROC	log2_p20r	sample_num	median_spearman	counts_sample_sums_variance
SRP012682	adipose_tissue	counts	0.5388668848540537	0.5918001622244446	0.7573357032227397	620	0.8506274146438043	30066501410326.83
SRP012682	adrenal_gland	counts	0.4051577293042391	0.57609970930298	0.5924337184524553	159	0.9045109224029559	23481551609864.31
SRP012682	bladder	counts	0.20187820155273137	0.5481696899996678	0.37737881638104476	11	0.8774278302670073	7730794256511.091
SRP012682	blood	counts	0.29663877294147245	0.5597073157919112	0.45226930962976125	595	0.8210499606496351	47563257529617
SRP012682	blood_vessel	counts	0.5295398423670484	0.5896309116155862	0.7405901033237587	750	0.8634456651812191	38754164151495.93
SRP012682	bone_marrow	counts	0.2939287974823453	0.575384035154002	0.43653755711006076	102	0.9928019473064187	42049900457199.79
SRP012682	brain	counts	0.36755058872281404	0.5688149949846775	0.5533472284334313	1409	0.7523762664025219	46066048954458.94
SRP012682	breast	counts	0.415200267165476	0.5748838714062003	0.5957510894323602	218	0.8302414835111974	18879247457177.68
SRP012682	cervix_uteri	counts	0.15562448582434807	0.5387318794878411	0.23669016489069974	11	0.8542408684699819	5000055391623.473
SRP012682	colon	counts	0.30135216464410697	0.5690456142424409	0.5088022183094527	376	0.8005994571042859	19519544599157.188
SRP012682	esophagus	counts	0.2975188603853579	0.5647058483777982	0.5078709980217282	788	0.7675823718289441	33145227246645.367
SRP012682	fallopian_tube	counts	0.28756485980412994	0.5614006514333596	0.44510836767182993	7	0.8610602932806956	23996813030299.906
SRP012682	heart	counts	0.5008477485407367	0.5942126838299373	0.7099837609867001	489	0.8295588197843352	39369470293725.52
SRP012682	kidney	counts	0.4783180587924626	0.58325009943519035	0.670536488578526	36	0.7985829147013058	22272752539960.25
SRP012682	liver	counts	0.6124361220956155	0.60952822711306	0.8564574211370174	136	0.8611651199044741	43479116110667.48
SRP012682	lung	counts	0.40694244357666554	0.582636434941378	0.5933650557787883	374	0.8357935494798248	43149889822933.25
SRP012682	muscle	counts	0.5913884056359944	0.6059792012920298	0.8342295778608114	475	0.8758770579357273	41509031431766.15
SRP012682	nerve	counts	0.465718194550422	0.5868852163662268	0.6845327218491439	335	0.8983040598566469	30490143371729.26
SRP012682	ovary	counts	0.5032968644893185	0.5904491199553377	0.674276611556678	108	0.8929019389320334	16778882363032.21
SRP012682	pancreas	counts	0.5219702148342129	0.5982163078133453	0.7390744295971565	197	0.9071555030828208	25331676437836.96
SRP012682	pituitary	counts	0.5126606522771451	0.588498696698025	0.7383198112581629	124	0.8847276308833996	17520465346450.992
SRP012682	prostate	counts	0.5125922368138541	0.5863888869707807	0.7321086567922311	119	0.8348637170990683	19232108739791.59
SRP012682	salivary_gland	counts	0.5397622640801826	0.5883855448278155	0.7999157375910569	70	0.840206092880244	14433063078048.781
SRP012682	skin	counts	0.3329956013533312	0.5667132305261475	0.5487496250923339	972	0.8240569875401347	27032090903840.29
SRP012682	small_intestine	counts	0.3691316434075723	0.5718449263522416	0.5906958999468865	104	0.776948424667578	14013718866596.008
SRP012682	spleen	counts	0.5367629834702522	0.586758952836135	0.7841261635605029	118	0.9159208419930962	14346446068866.951
SRP012682	stomach	counts	0.479219970290712	0.5888920799961852	0.7621988486596806	203	0.8198299137803764	17003626657448.738
SRP012682	testis	counts	0.3100062241689523	0.5613345606429903	0.5196667205719965	203	0.8975121198521843	28511044450967.555
SRP012682	thyroid	counts	0.46027456794780475	0.5854162947684927	0.6694814617500441	361	0.8803299354597345	34659609336165.54
SRP012682	uterus	counts	0.42628162001103387	0.5718123993310655	0.6020808938475002	90	0.8770981722633059	15946606709973.91
SRP012682	vagina	counts	0.3385140702794574	0.5632847806414247	0.5211082276692744	97	0.8169675261454857	18566935313697.44
SRP012682	adipose_tissue	QNT	0.35413312971042316	0.5476725401631484	0.5108535902883021	620	0.8506274146438043	30066501410326.83
