project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP012682	adipose_tissue	wTO	5	9.628345850182939e-4	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	-0.7069318069118099
SRP012682	blood	wTO	5	0.009909369820502873	SRP012682_blood	5692	414703	0.013539647236527551	-0.4503249330141718
SRP012682	bone_marrow	wTO	5	0.0010309278350515464	SRP012682_bone_marrow	51	50279	0.001013312139876813	0.02486469833827887
SRP012682	brain	wTO	5	0.01313969571230982	SRP012682_brain	4089	443669	0.009132165142778018	0.5249030121796918
SRP012682	breast	wTO	5	0.014661654135338346	SRP012682_breast	741	135945	0.005421184320266889	1.4353679137468278
SRP012682	cervix_uteri	wTO	5	0.01066468253968254	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	0.29242898309573756
SRP012682	colon	wTO	5	0.0010327022375215145	SRP012682_colon	59	59499	9.906309815641895e-4	0.06000469062473083
SRP012682	fallopian_tube	wTO	5	0.005221932114882507	SRP012682_fallopian_tube	50	42216	0.0011829839587375196	2.1421531918715475
SRP012682	heart	wTO	5	0.0016069788797061523	SRP012682_heart	529	164120	0.0032128953106304926	-0.999523004622643
SRP012682	kidney	wTO	5	0.003897024090694379	SRP012682_kidney	767	220365	0.0034685165421558164	0.16805408486895884
SRP012682	liver	wTO	5	0.00845878136200717	SRP012682_liver	1061	238312	0.00443241301232804	0.9323575144183095
SRP012682	lung	wTO	5	0.0020325203252032522	SRP012682_lung	311	117840	0.0026322248647916648	-0.37301296106587006
SRP012682	muscle	wTO	5	0.010807291666666666	SRP012682_muscle	1657	264040	0.006236427208436678	0.7932133613220542
SRP012682	nerve	wTO	5	0.007836089144500359	SRP012682_nerve	2031	289701	0.006961869112747316	0.170659119212024
SRP012682	ovary	wTO	5	0.012177650429799427	SRP012682_ovary	346	143912	0.0023984805002148927	2.344043189309769
SRP012682	pancreas	wTO	5	5.088195386702849e-4	SRP012682_pancreas	59	54795	0.0010755824552448317	-1.0798921511812947
SRP012682	prostate	wTO	5	0.0036231884057971015	SRP012682_prostate	140	84704	0.0016500872188958558	1.1347175446595237
SRP012682	skin	wTO	5	0.037528868360277134	SRP012682_skin	711	185757	0.0038129866786794516	3.299007392192646
SRP012682	spleen	wTO	5	4.8295180141021924e-4	SRP012682_spleen	121	50884	0.0023723164395647485	-2.296345341152952
SRP012682	testis	wTO	5	0.010739191073919107	SRP012682_testis	1347	247180	0.005419934252616416	0.9865380709265013
SRP012682	uterus	wTO	5	0.03422818791946309	SRP012682_uterus	1085	154897	0.006955930812529651	2.2988694283975772
SRP012682	adipose_tissue	counts	5	0.002166377816291161	SRP012682_adipose_tissue	93	59080	0.0015716627515927873	0.46299319453050225
SRP012682	blood	counts	5	0.020571052415041553	SRP012682_blood	5692	414703	0.013539647236527551	0.6034254527634371
SRP012682	bone_marrow	counts	5	7.731958762886598e-4	SRP012682_bone_marrow	51	50279	0.001013312139876813	-0.3901728009405653
SRP012682	brain	counts	5	0.022130013831258646	SRP012682_brain	4089	443669	0.009132165142778018	1.2769754987361064
SRP012682	breast	counts	5	0.03609022556390978	SRP012682_breast	741	135945	0.005421184320266889	2.7349281956057356
SRP012682	cervix_uteri	counts	5	0.022321428571428572	SRP012682_cervix_uteri	1847	210257	0.008707992305661374	1.3580173247233145
SRP012682	colon	counts	5	0.0010327022375215145	SRP012682_colon	59	59499	9.906309815641895e-4	0.06000469062473083
