project	tissue	method	log2_auprc_over_prior	dataset	auROC	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP000941	colon	wTO	0.9725577660669449	SRP000941_colon	0.6596288727098312	24	0.8871250457558746	9069932	2982197564764.058	9069932	2982197564764.058	0.8871250457558746
SRP000941	heart	wTO	-0.008133225532079912	SRP000941_heart	0.49831457192064477	24	0.937793717798281	10202036	1147830126460.0417	10202036	1147830126460.0417	0.937793717798281
SRP000941	intestine	wTO	0.36821791766444656	SRP000941_intestine	0.5588276573357476	32	0.9149503561915839	4309408	7667816074280.217	4309408	7667816074280.217	0.9149503561915839
SRP000941	lung	wTO	0.044971072486990546	SRP000941_lung	0.5320437878134534	20	0.7532870120286826	8617928	5479685216180.257	8628235.5	4019083406430.0923	0.7571675546745809
SRP000941	muscle	wTO	0.43396589112683026	SRP000941_muscle	0.5632352637595766	30	0.9101233706492706	5670970	95428472811461.7	5670970	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	wTO	1.0495933053906865	SRP000941_stem_cell	0.6966962309398284	99	0.6335681507630583	5175909	721193967325620.9	6776864	755711347810385.9	0.6517449699437442
SRP001371	blood	wTO	0.23516639323205282	SRP001371_blood	0.5728665049661821	20	0.9971459309901244	5882490	490440749620378	5882490	490440749620378	0.9971459309901244
SRP001371	brain	wTO	0.06851217314844357	SRP001371_brain	0.5097165638095902	12	0.9612230361478138	54043061.5	252330960470104.38	54043061.5	252330960470104.38	0.9612230361478138
SRP001371	intestine	wTO	0.004012579392093504	SRP001371_intestine	0.4824776465750844	14	0.9055033664256724	46285748	517266378348557	46285748	517266378348557	0.9055033664256724
SRP001371	kidney	wTO	0.2321172459616906	SRP001371_kidney	0.5613803525490404	5	0.9769421783184283	56248691	106264162409291.7	56248691	106264162409291.7	0.9769421783184283
SRP001371	muscle	wTO	0.3238144138678898	SRP001371_muscle	0.5927180426244689	7	0.8890394365084799	36873414	903359994356518.6	36873414	903359994356518.6	0.8890394365084799
SRP001558	liver	wTO	0.9552072020969039	SRP001558_liver	0.6359896645302463	11	0.9247578114803341	4887004	445272832691.4	4887004	445272832691.4	0.9247578114803341
SRP002079	brain	wTO	0.13295374294122478	SRP002079_brain	0.5179842164898574	34	0.6774551372508555	1709663.5	1651117793959.4553	1709663.5	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	wTO	0.8104782500633011	SRP002079_stem_cell	0.6856025452440413	27	0.8011469439008185	1886911	1101302979236.656	1992724	1041024362453.4985	0.8030977340010708
SRP002105	blood	wTO	0.6515839562846252	SRP002105_blood	0.6186114892580648	15	0.9425098956485196	3266231	154793831752.20953	3266231	154793831752.20953	0.9425098956485196
SRP002272	liver	wTO	0.31736183291689546	SRP002272_liver	0.5611347324768126	7	0.6089187975927195	6764631.5	7399956664689.538	7942672	5857451683910.619	0.7114213078445124
SRP002274	brain	wTO	0.424367136115592	SRP002274_brain	0.5653708225592347	6	0.9949553683471325	7064703.5	93176427759.76666	7064703.5	93176427759.76666	0.9949553683471325
SRP002605	cervix	wTO	1.368846561487588	SRP002605_cervix	0.7651707693258665	24	0.9231615868042707	2760306	15529457497286.346	2760306	15529457497286.346	0.9231615868042707
SRP002628	prostate	wTO	0.11914407063066132	SRP002628_prostate	0.5387635434251195	30	0.8454448120097025	6013922.5	5638445182990.947	6013922.5	5638445182990.947	0.8454448120097025
SRP003611	brain	wTO	0.5681708830123131	SRP003611_brain	0.5943373374363752	6	0.9940259098220026	6935409	230286966377.06668	6935409	230286966377.06668	0.9940259098220026
SRP003611	prostate	wTO	0.40775971038045516	SRP003611_prostate	0.5141667165225456	46	0.9030892791840586	3432084	12453029165482.844	3432084	12453029165482.844	0.9030892791840586
SRP003726	breast	wTO	0.544769485437205	SRP003726_breast	0.6114248040877648	14	0.5038673603116823	2190167	2410584971362.2637	2190167	2410584971362.2637	0.5038673603116823
SRP003754	blood	wTO	0.3150063868077749	SRP003754_blood	0.5410874671419776	5	0.47897799785748674	32099841	1181252449038045	64056983	1126326657850988.5	0.5970710323620452
SRP003754	brain	wTO	0.4184989317811075	SRP003754_brain	0.5573206779451425	5	0.4411144744892216	21407034	674324989315392.75	21182758	267816812278432.3	0.42146462237494403
SRP003754	skin	wTO	0.922935131372288	SRP003754_skin	0.6415951246480986	8	0.4639059689626029	36971897	731793047652425.25	49970194	1047687261183365.9	0.5504298479999644
SRP003902	kidney	wTO	0.378893530709725	SRP003902_kidney	0.5821520359194743	20	0.6460929763182831	5147830.5	1532875350132.3684	5147830.5	1532875350132.3684	0.6460929763182831
SRP004847	breast	wTO	0.09206355491956345	SRP004847_breast	0.5013314382705367	8	0.7402732133699512	2782443	363502373032.8571	2782443	363502373032.8571	0.7402732133699512
SRP005242	heart	wTO	0.16857113482748676	SRP005242_heart	0.5600899082411495	7	0.6860039410371538	4705846	638845802500692.6	4705846	638845802500692.6	0.6860039410371538
SRP005279	blood	wTO	0.24500893206802216	SRP005279_blood	0.5322969939894477	5	0.8999927190238184	13032669	11994899780809.7	13032669	11994899780809.7	0.8999927190238184
SRP005279	bone	wTO	0.22244972700462387	SRP005279_bone	0.5547028353479213	23	0.5987056262061923	5416220	18634320813161.984	5807971	17267267299273.691	0.6523851545920355
SRP005281	stem_cell	wTO	0.5390655005861358	SRP005281_stem_cell	0.6054862742341705	5	0.9832882981583343	11626850	12793169339201.3	11626850	12793169339201.3	0.9832882981583343
SRP006575	breast	wTO	0.9112267026295703	SRP006575_breast	0.7040862823680989	71	0.6927087568775924	4078876	11289576856496.963	4274794	10669184964806.045	0.7098719536613645
SRP006575	colon	wTO	0.21479871057767908	SRP006575_colon	0.5201820825876986	5	0.7571227173158857	7468273	12378227826521.2	7468273	12378227826521.2	0.7571227173158857
SRP006575	kidney	wTO	0.130801572737736	SRP006575_kidney	0.5267670986890742	6	0.8484489229850931	6101579.5	16739742685022.666	6101579.5	16739742685022.666	0.8484489229850931
SRP006575	lung	wTO	0.2608962253137629	SRP006575_lung	0.5732395533008656	16	0.774125084305037	8314288.5	30137762695491.598	8314288.5	30137762695491.598	0.774125084305037
SRP006676	lung	wTO	0.09377886794141425	SRP006676_lung	0.4876449448377329	8	0.8043938458275474	13324908	15597247017854.268	13324908	15597247017854.268	0.8043938458275474
SRP006908	breast	wTO	0.8803942053260714	SRP006908_breast	0.6836919206730272	5	0.6982399635289526	16012577	98341950108842.8	16012577	98341950108842.8	0.6982399635289526
SRP007359	brain	wTO	0.603419301250567	SRP007359_brain	0.6017218733511385	7	0.7409343449601383	12485617	12395693225419.953	12485617	12395693225419.953	0.7409343449601383
SRP007412	brain	wTO	0.0021702453358126103	SRP007412_brain	0.5122562745427643	6	0.8752678288263602	10431357	50825686660802.164	10431357	50825686660802.164	0.8752678288263602
SRP007461	blood	wTO	0.14325178094835964	SRP007461_blood	0.5402539895903118	50	0.5151529276267153	10418073.5	243355667921270.38	10418073.5	243355667921270.38	0.5151529276267153
SRP007461	brain	wTO	0.04448682127639107	SRP007461_brain	0.5141578148713499	10	0.7792129022463915	52655276.5	1557592478727595.5	52655276.5	1557592478727595.5	0.7792129022463915
SRP007461	breast	wTO	0.8223354682202014	SRP007461_breast	0.6656962390693479	11	0.6089669554001409	20561084	651449691453297.9	20561084	651449691453297.9	0.6089669554001409
SRP007461	liver	wTO	0.5690717639502533	SRP007461_liver	0.5980065886456956	12	0.7047443360228928	15278386	16452668982290.516	15278386	16452668982290.516	0.7047443360228928
SRP007461	lung	wTO	0.3471112435814699	SRP007461_lung	0.5604676073947061	15	0.6988593419206273	35190822	620954908052794.75	35190822	620954908052794.75	0.6988593419206273
SRP007461	muscle	wTO	0.3546709822019396	SRP007461_muscle	0.5734515264270073	6	0.671015367025735	18879652	1399940888619999.8	18879652	1399940888619999.8	0.671015367025735
SRP007461	skin	wTO	0.3680436474802868	SRP007461_skin	0.576453228224274	25	0.5993561079668875	18022968	488596594978231.5	18022968	488596594978231.5	0.5993561079668875
SRP007461	stem_cell	wTO	0.12555538769897098	SRP007461_stem_cell	0.5338743281613532	8	0.7760530988556255	10954365	20470899243998.5	10954365	20470899243998.5	0.7760530988556255
SRP007483	brain	wTO	0.3564419451381001	SRP007483_brain	0.5669180627233175	12	0.8614590750086454	22679882	2877706712147.1816	22679882	2877706712147.1816	0.8614590750086454
SRP007584	colon	wTO	0.25793248879935854	SRP007584_colon	0.5558385965194681	10	0.8106895402250123	395988	11143858020.455555	395988	11143858020.455555	0.8106895402250123
SRP007584	intestine	wTO	-0.09364469010549421	SRP007584_intestine	0.47750082215104683	9	0.737775735539147	255749.5	13366993480.628788	263917	12919957001.36111	0.7677714298034521
SRP007605	heart	wTO	0.0965975293427514	SRP007605_heart	0.5598753056991086	12	0.8312593545840603	9629123.5	297663574667254.1	9629123.5	297663574667254.1	0.8312593545840603
SRP007825	skin	wTO	0.51165197387977	SRP007825_skin	0.5653118045258552	39	0.5318151978743655	6101778	11596296373232.584	8379462	6639283227796.418	0.6084344601019966
SRP008218	breast	wTO	0.4338115078335654	SRP008218_breast	0.6004022378381784	14	0.43994818242042283	7574739.5	25838811653158.64	8338456.5	13953276960963.34	0.7069839526691122
SRP008225	stem_cell	wTO	0.1783916668523072	SRP008225_stem_cell	0.5220557609179828	8	0.9897184940181443	20305277.5	636417384388.6964	20305277.5	636417384388.6964	0.9897184940181443
SRP008331	breast	wTO	1.0034152868962436	SRP008331_breast	0.7105865100151867	15	0.8227322958065029	29682707	390245808483628	29682707	390245808483628	0.8227322958065029
SRP008746	breast	wTO	0.8991780294293972	SRP008746_breast	0.6786601941209867	6	0.6355274017450115	22168646.5	120888927041196.8	22168646.5	120888927041196.8	0.6355274017450115
SRP008775	blood	wTO	0.24020924659256826	SRP008775_blood	0.5343615854973827	8	0.6231398170085601	560190.5	261404140479.98215	560190.5	261404140479.98215	0.6231398170085601
SRP008976	blood	wTO	0.4336609527559684	SRP008976_blood	0.5975388031856603	25	0.9327145490131237	32954739	165295164570298.94	32954739	165295164570298.94	0.9327145490131237
SRP009123	liver	wTO	0.5882320993062253	SRP009123_liver	0.6128162703548732	6	0.7128983161665476	29548486.5	1013364811525.6	29548486.5	1013364811525.6	0.7128983161665476
SRP009251	skin	wTO	0.4913063077647561	SRP009251_skin	0.5445332431955023	10	0.8995155113865458	11964705.5	40962393496477.57	11964705.5	40962393496477.57	0.8995155113865458
SRP009266	brain	wTO	0.15143430201055294	SRP009266_brain	0.5336283196013731	6	0.983143599558673	13721574.5	29527073434114.965	13721574.5	29527073434114.965	0.983143599558673
SRP009266	breast	wTO	-0.06739488309970548	SRP009266_breast	0.46791978120770494	6	0.7796939645357992	13543674	31946682361831.465	13543674	31946682361831.465	0.7796939645357992
SRP009266	lung	wTO	0.7450953083483259	SRP009266_lung	0.5987667813900366	6	0.9831996848654092	19496554.5	16881127737733.367	19496554.5	16881127737733.367	0.9831996848654092
SRP009276	breast	wTO	0.749909360570097	SRP009276_breast	0.6473650133678426	5	0.9696926661965488	19808735	23280438322735.5	19808735	23280438322735.5	0.9696926661965488
SRP009276	skin	wTO	0.13575184736751716	SRP009276_skin	0.5649532014651513	5	0.9123487288582667	13843969	55911792431362.2	13843969	55911792431362.2	0.9123487288582667
SRP009373	blood	wTO	0.1502417047879911	SRP009373_blood	0.5416925277934368	6	0.6480313180872258	14720035	50658393832208	14720035	50658393832208	0.6480313180872258
SRP009408	lung	wTO	0.40788380428204146	SRP009408_lung	0.5627302855415053	48	0.6201980785543115	16806968.5	41702837042319.71	17580331	20376162280082.125	0.6589494335693437
SRP009615	blood	wTO	0.13130330235403648	SRP009615_blood	0.5414095981554965	12	0.9402529660975534	20353499.5	64889759283064.99	20353499.5	64889759283064.99	0.9402529660975534
SRP009840	bone	wTO	0.7647552521054888	SRP009840_bone	0.6452045073935295	11	0.7922230854876293	34526954	42218737715533.016	34526954	42218737715533.016	0.7922230854876293
SRP009862	blood	wTO	0.20571451181282263	SRP009862_blood	0.5576756102968581	23	0.6130645929622438	6561905	21748257427790.086	6682702	20507373972662.133	0.6276432289983679
SRP009862	liver	wTO	0.5597599564998107	SRP009862_liver	0.6178047354962786	9	0.7547160304065453	13212548	22668369806519.36	13212548	22668369806519.36	0.7547160304065453
SRP009862	skin	wTO	0.9797164073098448	SRP009862_skin	0.6465548691369563	9	0.7725306474813661	10128450	16531575712235.111	10128450	16531575712235.111	0.7725306474813661
SRP010041	lung	wTO	0.6215470598530771	SRP010041_lung	0.6051028385992083	6	0.8746000133452073	23414290.5	2367267160787.8667	23414290.5	2367267160787.8667	0.8746000133452073
SRP010181	intestine	wTO	0.08181810714559165	SRP010181_intestine	0.503688123800238	26	0.5549784668757749	110888.5	2182603054.9669223	228768.5	1466198307.146154	0.7229301701491603
SRP010374	cervix	wTO	0.4558212089285461	SRP010374_cervix	0.5608838026382372	5	0.9600840860221238	9012134	7972338401457.8	9012134	7972338401457.8	0.9600840860221238
SRP010483	brain	wTO	0.13130597172757574	SRP010483_brain	0.5277924142365045	10	0.8728140234038662	9677064	23001832322613.12	9677064	23001832322613.12	0.8728140234038662
SRP010644	blood	wTO	0.07527754940337548	SRP010644_blood	0.5050530929999013	17	0.9503595763773524	4440333	33811300443513.492	4440333	33811300443513.492	0.9503595763773524
SRP010961	blood	wTO	0.43101283015231256	SRP010961_blood	0.5460593620611149	6	0.9480269256105643	13171962	586358422904	13171962	586358422904	0.9480269256105643
