project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP000941	colon	WTO	0.9725577660669449	1.2651191205293435	0.6596288727098312	asinh	24	2982197564764.058	0.8871250457558746
SRP000941	heart	WTO	-0.008133225532079912	-0.12246812847123123	0.49831457192064477	asinh	24	1147830126460.0417	0.937793717798281
SRP000941	intestine	WTO	0.36821791766444656	0.6686317908928094	0.5588276573357476	asinh	32	7667816074280.217	0.9149503561915839
SRP000941	lung	WTO	0.044971072486990546	-0.19144012602527	0.5320437878134534	asinh	20	4019083406430.0923	0.7571675546745809
SRP000941	muscle	WTO	0.43396589112683026	0.6294798345003072	0.5632352637595766	asinh	30	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	WTO	1.0495933053906865	1.562107813859861	0.6966962309398284	asinh	99	755711347810385.9	0.6517449699437442
SRP001371	blood	WTO	0.23516639323205282	0.2702065514876611	0.5728665049661821	asinh	20	490440749620378	0.9971459309901244
SRP001371	brain	WTO	0.06851217314844357	0.1634449252654857	0.5097165638095902	asinh	12	252330960470104.38	0.9612230361478138
SRP001371	intestine	WTO	0.004012579392093504	-0.1586559691066735	0.4824776465750844	asinh	14	517266378348557	0.9055033664256724
SRP001371	kidney	WTO	0.2321172459616906	0.4795674333697721	0.5613803525490404	asinh	5	106264162409291.7	0.9769421783184283
SRP001371	muscle	WTO	0.3238144138678898	0.41706459117315114	0.5927180426244689	asinh	7	903359994356518.6	0.8890394365084799
SRP001558	liver	WTO	0.9552072020969039	1.5540465006678341	0.6359896645302463	asinh	11	445272832691.4	0.9247578114803341
SRP002079	brain	WTO	0.13295374294122478	0.29932660372521075	0.5179842164898574	asinh	34	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	WTO	0.8104782500633011	1.129206202145736	0.6856025452440413	asinh	27	1041024362453.4985	0.8030977340010708
SRP002105	blood	WTO	0.6515839562846252	1.1147808979784202	0.6186114892580648	asinh	15	154793831752.20953	0.9425098956485196
